node, X_Crd(UTM14), Y_Crd(UTM14), BOTTOM
296,701843.3125,3112499.5,0.462
297,701883.4375,3126102.75,-0.5
298,702178.5625,3110833,-1
299,702093.875,3120116,-0.5
300,702143.0625,3109819.75,-1.486
301,702160.1875,3118764.75,-0.458
302,702085.75,3111733.25,-0.974
303,702102.875,3108262.5,-1.453
304,702083.3125,3108929.5,-1.439
305,702122,3123511.5,1.439
306,702058.8125,3124388.75,-0.498
307,702148,3127202.5,1.378
308,702161.3125,3126707,0.749
309,702192.9375,3118202,-0.119
310,702373.875,3120679,-0.5
311,702343.8125,3122743.25,1.401
312,702503.9375,3119614.5,-0.5
313,702446.5,3123904.75,1.236
314,702447.1875,3118547.5,0.941
315,702234.3125,3125388.75,-0.5
316,702400.25,3126041.5,-0.5
317,702267,3121838.25,-0.5
318,702801.75,3120110.25,-0.5
319,702574.5625,3108096.5,-1.483
320,702868.25,3110461.25,-1.142
321,702660.6875,3112535,0.217
322,702682.4375,3118988.5,0.493
323,702682.4375,3124347.25,1.609
324,702653.8125,3121234.75,-0.5
325,703062.0625,3111404.75,-1.003
326,702761.125,3124907.75,0.128
327,702723.3125,3109226.5,-1.235
328,703144.5,3120730,-0.5
329,702797.0625,3125763.5,-0.5
330,702964.875,3126945,0.156
331,702925.25,3126245,-0.5
332,702983.5625,3122387.75,2.108
333,702820.0625,3108552.25,-1.157
334,703008.9375,3119452.25,1.006
335,703003.25,3121724.75,-0.497
336,703046.25,3107930.75,-1.142
337,702985.75,3125310.75,-0.5
338,703149,3109771.25,-1.383
339,703199.5625,3127526,-0.066
340,703185.6875,3121262.75,-0.211
341,703282.25,3124947,0.068
342,703388.625,3122083.75,2.527
343,703400.25,3125025.75,0.473
344,703412.125,3113075.5,1.145
345,703439.5625,3125832,0.094
346,703439.5625,3128152.5,1.334
347,703644.625,3112307.25,-0.464
348,703421,3109060,-1.128
349,703517.875,3107764.75,1.279
350,703540.75,3121541.25,1.413
351,703606.6875,3113551.25,0.965
352,703586.1875,3121083,0.028
353,703685.375,3120070.25,1.017
354,703724.6875,3120670,1.325
355,703808.4375,3110477.25,-0.5
356,703788.5625,3126181.75,1.367
357,703789.1875,3108359.25,1.229
358,703930,3109582.5,-1.366
359,703960.6875,3121063.25,0.517
360,703960.6875,3121230.5,1.105
361,704000,3128467,0.755
362,704020.625,3127872.75,-0.5
363,704188.1875,3111486.75,-0.568
364,704044.875,3112987.25,-0.497
365,704114.5625,3108868.75,1.385
366,704118,3126886.5,0.978
367,704118,3127307,0.089
368,704167.125,3114151,0.934
369,704298.375,3129350.5,1.715
370,704377.125,3113580,-0.12
371,704499.625,3112354.5,1.364
372,704463,3129896.25,1.439
373,704495.3125,3109970,-1.24
374,704479.5,3114541.5,0.472
375,704560.4375,3127670.75,2
376,704591.6875,3109347.25,-1.125
377,704609.375,3130374.25,1.535
